valid_time,t2m,tp,latitude,longitude
2022-07-09 20:00:00,277.3014,0.0,78.0,20.0
2022-07-09 21:00:00,277.22964,0.0,78.0,20.0
2022-07-09 22:00:00,277.0476,0.0,78.0,20.0
2022-07-09 23:00:00,277.01245,0.0,78.0,20.0
2022-07-10 00:00:00,277.00388,0.0,78.0,20.0
2022-07-10 01:00:00,277.0265,0.0,78.0,20.0
2022-07-10 02:00:00,277.0681,2.861023e-06,78.0,20.0
2022-07-10 03:00:00,277.10986,3.8146973e-06,78.0,20.0
2022-07-10 04:00:00,277.11487,5.722046e-06,78.0,20.0
2022-07-10 05:00:00,277.08337,4.7683716e-06,78.0,20.0
2022-07-10 06:00:00,277.06213,3.33786e-06,78.0,20.0
2022-07-10 07:00:00,277.0453,2.861023e-06,78.0,20.0
2022-07-10 08:00:00,276.99316,3.33786e-06,78.0,20.0
2022-07-10 09:00:00,276.92783,1.4305115e-06,78.0,20.0
2022-07-10 10:00:00,277.92615,1.4305115e-06,78.0,20.0
2022-07-10 11:00:00,277.93274,2.861023e-06,78.0,20.0
2022-07-10 12:00:00,277.91016,0.0,78.0,20.0
2022-07-10 13:00:00,277.90045,0.0,78.0,20.0
2022-07-10 14:00:00,277.8606,0.0,78.0,20.0
2022-07-10 15:00:00,277.84125,0.0,78.0,20.0
2022-07-10 16:00:00,277.8189,0.0,78.0,20.0
2022-07-10 17:00:00,277.77362,0.0,78.0,20.0
2022-07-10 18:00:00,277.79645,0.0,78.0,20.0
2022-07-10 19:00:00,277.8357,0.0,78.0,20.0
2022-07-10 20:00:00,277.8689,3.8146973e-06,78.0,20.0
2022-07-10 21:00:00,277.95847,2.3841858e-06,78.0,20.0
2022-07-10 22:00:00,277.7923,4.7683716e-07,78.0,20.0
2022-07-10 23:00:00,277.84985,6.198883e-06,78.0,20.0
2022-07-11 00:00:00,277.90656,1.5258789e-05,78.0,20.0
2022-07-11 01:00:00,277.94745,1.5258789e-05,78.0,20.0
2022-07-11 02:00:00,277.98138,1.5258789e-05,78.0,20.0
2022-07-11 03:00:00,278.07788,2.336502e-05,78.0,20.0
2022-07-11 04:00:00,278.12012,4.673004e-05,78.0,20.0
2022-07-11 05:00:00,278.11108,7.05719e-05,78.0,20.0
2022-07-11 06:00:00,278.07635,8.201599e-05,78.0,20.0
2022-07-11 07:00:00,278.03412,1.2397766e-05,78.0,20.0
2022-07-11 08:00:00,277.9853,1.7642975e-05,78.0,20.0
2022-07-11 09:00:00,277.97437,2.4318695e-05,78.0,20.0
2022-07-11 10:00:00,278.42352,5.1498413e-05,78.0,20.0
2022-07-11 11:00:00,278.32745,0.0001335144,78.0,20.0
2022-07-11 12:00:00,278.29266,0.00019264221,78.0,20.0
2022-07-11 13:00:00,278.27957,0.00012397766,78.0,20.0
2022-07-11 14:00:00,278.3433,6.1035156e-05,78.0,20.0
2022-07-11 15:00:00,278.33716,2.527237e-05,78.0,20.0
2022-07-11 16:00:00,278.26257,0.00015544891,78.0,20.0
2022-07-11 17:00:00,278.2347,0.0001654625,78.0,20.0
2022-07-11 18:00:00,278.2716,0.00015258789,78.0,20.0
2022-07-11 19:00:00,278.2716,0.00019216537,78.0,20.0
2022-07-11 20:00:00,278.26996,0.00018978119,78.0,20.0
2022-07-11 21:00:00,278.29523,0.00017976761,78.0,20.0
2022-07-11 22:00:00,278.41605,0.00022029877,78.0,20.0
2022-07-11 23:00:00,278.40735,0.00029230118,78.0,20.0
2022-07-12 00:00:00,278.43265,0.00040912628,78.0,20.0
2022-07-12 01:00:00,278.55072,0.00056028366,78.0,20.0
